site_id,water,survey,year,nytme,nytmn,Detected
East Branch Owego Creek1,East Branch Owego Creek,791007,1991,400332,4672122,0
East Branch Owego Creek1,East Branch Owego Creek,795015,1995,402331,4686922,0
East Branch Owego Creek1,East Branch Owego Creek,798017,1998,405731,4699422,0
East Branch Owego Creek2,East Branch Owego Creek,723011,2023,401431,4688422,0
East Branch Owego Creek2,East Branch Owego Creek,791007,1991,397532,4669722,0
East Branch Owego Creek2,East Branch Owego Creek,795015,1995,401431,4688422,0
East Branch Owego Creek2,East Branch Owego Creek,798017,1998,406931,4702622,0
East Branch Owego Creek3,East Branch Owego Creek,723011,2023,401331,4690322,0
East Branch Owego Creek3,East Branch Owego Creek,791007,1991,399432,4670722,1
East Branch Owego Creek3,East Branch Owego Creek,795015,1995,401331,4690322,0
East Branch Owego Creek4,East Branch Owego Creek,723011,2023,401631,4691922,0
East Branch Owego Creek4,East Branch Owego Creek,795015,1995,401631,4691922,0
East Branch Owego Creek5,East Branch Owego Creek,723011,2023,401831,4694522,0
East Branch Owego Creek5,East Branch Owego Creek,795015,1995,401831,4694522,0
East Branch Owego Creek6,East Branch Owego Creek,795015,1995,400931,4696222,0
East Branch Tioughnioga C1,East Branch Tioughnioga C,795017,1995,427432,4734722,0
East Branch Tioughnioga C2,East Branch Tioughnioga C,795017,1995,429932,4733922,0
East Branch Tioughnioga R1,East Branch Tioughnioga R,709312,2009,434192,4739533,0
East Branch Tioughnioga R1,East Branch Tioughnioga R,791025,1991,411950,4725122,0
East Branch Tioughnioga R2,East Branch Tioughnioga R,791025,1991,411034,4724895,0
East Branch Tioughnioga R3,East Branch Tioughnioga R,791025,1991,409768,4723819,0
East Branch Tioughnioga R4,East Branch Tioughnioga R,791025,1991,409463,4723722,0
East Branch Tioughnioga R5,East Branch Tioughnioga R,791025,1991,408396,4722126,0
East Branch Tioughnioga R5,East Branch Tioughnioga R,793030,1993,416631,4729222,0
East Branch Tioughnioga R6,East Branch Tioughnioga R,791025,1991,408217,4721853,0
East Branch Tioughnioga R7,East Branch Tioughnioga R,791025,1991,405870,4719731,0
East Branch Tioughnioga R8,East Branch Tioughnioga R,791025,1991,405691,4719386,0
East Creek1,East Creek,810106,2010,340213,4681799,0
East Masonville Creek1,East Masonville Creek,409747,2009,469892,4676871,0
East Masonville Creek1,East Masonville Creek,493032,1993,469932,4676923,0
East Masonville Creek2,East Masonville Creek,493032,1993,471532,4676723,0
East Masonville Creek3,East Masonville Creek,493032,1993,473232,4678023,0
East Wayland Creek1,East Wayland Creek,810112,2010,291092,4713899,0
East Wayland Creek1,East Wayland Creek,816031,2016,291077,4713818,0
East Wayland Creek2,East Wayland Creek,816031,2016,291415,4713963,0
Eaton Brook1,Eaton Brook,711618,2011,444131,4745856,0
Eddy Brook1,Eddy Brook,708026,2008,448971,4693241,0
Eddy Brook3,Eddy Brook,708026,2008,451572,4696240,0
Electric Light Stream2,Electric Light Stream,711617,2011,440929,4750109,0
Elk Creek1,Elk Creek,405007,2005,513870,4711989,0
